Date, na,Open,High,Low,Close,Volume
2015.10.19,00:00,0.95314,0.95777,0.95212,0.95628,41987
2015.10.20,00:00,0.95628,0.95700,0.94931,0.95598,33605
2015.10.21,00:00,0.95597,0.96104,0.95271,0.95925,48722
2015.10.22,00:00,0.95924,0.97381,0.95792,0.97371,68355
2015.10.23,00:00,0.97364,0.98001,0.97111,0.97812,46844
2015.10.25,00:00,0.97834,0.97931,0.97834,0.97874,2312
2015.10.26,00:00,0.97874,0.98384,0.97560,0.98255,48973
2015.10.27,00:00,0.98258,0.98732,0.98048,0.98711,38777
2015.10.28,00:00,0.98710,0.99567,0.98167,0.99380,62317
2015.10.29,00:00,0.99380,0.99553,0.98809,0.98915,44022
2015.10.30,00:00,0.98918,0.99101,0.98447,0.98680,47260
2015.11.01,00:00,0.98597,0.98705,0.98482,0.98624,2405
2015.11.02,00:00,0.98625,0.98912,0.98351,0.98712,45168
2015.11.03,00:00,0.98711,0.99246,0.98437,0.99103,47537
2015.11.04,00:00,0.99104,0.99506,0.98839,0.99313,46313
2015.11.05,00:00,0.99314,0.99784,0.99209,0.99513,61204
2015.11.06,00:00,0.99517,1.00757,0.99431,1.00505,63536
2015.11.08,00:00,1.00473,1.00605,1.00367,1.00567,2335
2015.11.09,00:00,1.00569,1.00613,0.99969,1.00310,58582
2015.11.10,00:00,1.00309,1.00862,1.00188,1.00520,44654
2015.11.11,00:00,1.00520,1.00714,1.00285,1.00342,54862
2015.11.12,00:00,1.00343,1.00847,0.99887,1.00077,69613
2015.11.13,00:00,1.00078,1.00940,0.99982,1.00548,62837
2015.11.15,00:00,1.00673,1.00898,1.00543,1.00784,3933
2015.11.16,00:00,1.00785,1.01026,1.00429,1.00950,41812
2015.11.17,00:00,1.00949,1.01702,1.00920,1.01427,43597
2015.11.18,00:00,1.01426,1.02196,1.01270,1.01886,41380
2015.11.19,00:00,1.01886,1.02010,1.01212,1.01350,64126
2015.11.20,00:00,1.01354,1.01973,1.01214,1.01766,41253
2015.11.22,00:00,1.01962,1.01977,1.01866,1.01967,1686
2015.11.23,00:00,1.01969,1.02254,1.01743,1.01839,56793
2015.11.24,00:00,1.01840,1.01933,1.01436,1.01702,59634
2015.11.25,00:00,1.01705,1.02598,1.01432,1.02177,52052
2015.11.26,00:00,1.02178,1.02524,1.02135,1.02353,32059
2015.11.27,00:00,1.02352,1.03276,1.02251,1.02924,55608
2015.11.29,00:00,1.02998,1.03037,1.02935,1.03018,1356
2015.11.30,00:00,1.03018,1.03191,1.02573,1.02903,39515
2015.12.01,00:00,1.02904,1.03012,1.02522,1.02626,55527
2015.12.02,00:00,1.02625,1.03069,1.01786,1.01859,65679
2015.12.03,00:00,1.01859,1.02654,0.98746,0.99371,112607
2015.12.04,00:00,0.99368,1.00334,0.99103,0.99601,95248
2015.12.06,00:00,0.99671,0.99754,0.99600,0.99681,2309
2015.12.07,00:00,0.99680,1.00308,0.99641,1.00053,43991
2015.12.08,00:00,1.00053,1.00097,0.99165,0.99283,47621
2015.12.09,00:00,0.99284,0.99441,0.98194,0.98335,72235
2015.12.10,00:00,0.98334,0.99072,0.98302,0.98823,42893
2015.12.11,00:00,0.98825,0.98978,0.98026,0.98260,68293
2015.12.13,00:00,0.98329,0.98429,0.98265,0.98409,1979
2015.12.14,00:00,0.98409,0.98714,0.97852,0.98569,49321
2015.12.15,00:00,0.98565,0.99239,0.97977,0.99079,44981
2015.12.16,00:00,0.99080,0.99377,0.98095,0.99252,82693
2015.12.17,00:00,0.99250,0.99903,0.99128,0.99455,64446
2015.12.18,00:00,0.99456,0.99751,0.99110,0.99166,61699
2015.12.20,00:00,0.99197,0.99306,0.99115,0.99186,1478
2015.12.21,00:00,0.99182,0.99680,0.98963,0.99271,50829
2015.12.22,00:00,0.99270,0.99367,0.98568,0.98790,44698
2015.12.23,00:00,0.98791,0.99447,0.98744,0.99061,42532
2015.12.24,00:00,0.99062,0.99063,0.98519,0.98699,15878
2015.12.25,00:00,0.99062,0.99063,0.98519,0.98699,15878
2015.12.27,00:00,0.98673,0.98709,0.98530,0.98697,1078
2015.12.28,00:00,0.98698,0.99015,0.98562,0.98799,23671
2015.12.29,00:00,0.98800,0.99425,0.98609,0.99231,25906
2015.12.30,00:00,0.99231,0.99264,0.98564,0.98807,27990
2015.12.31,00:00,0.98808,1.00287,0.98716,1.00183,34798
2016.01.01,00:00,0.98808,1.00287,0.98716,1.00183,34798
2016.01.03,00:00,1.00118,1.00118,0.99887,0.99959,1969
2016.01.04,00:00,0.99958,1.00622,0.99232,1.00252,71568
2016.01.05,00:00,1.00255,1.01237,1.00063,1.00860,42655
2016.01.06,00:00,1.00859,1.01186,1.00563,1.00742,46471
2016.01.07,00:00,1.00742,1.00760,0.99214,0.99382,81441
2016.01.08,00:00,0.99383,1.00515,0.99356,0.99466,82407
2016.01.10,00:00,0.99449,0.99505,0.98796,0.99235,4607
2016.01.11,00:00,0.99236,1.00223,0.99228,1.00157,69459
2016.01.12,00:00,1.00157,1.00457,0.99654,1.00307,72080
2016.01.13,00:00,1.00306,1.01057,1.00244,1.00603,78045
2016.01.14,00:00,1.00602,1.00916,1.00087,1.00534,61376
2016.01.15,00:00,1.00535,1.00597,0.99575,1.00097,75816
2016.01.17,00:00,0.99985,1.00199,0.99985,1.00180,2026
2016.01.18,00:00,1.00180,1.00724,1.00127,1.00502,33841
2016.01.19,00:00,1.00496,1.00811,1.00010,1.00328,66525
2016.01.20,00:00,1.00329,1.00599,0.99898,1.00585,90937
2016.01.21,00:00,1.00586,1.01458,1.00119,1.00792,105807
2016.01.22,00:00,1.00791,1.01651,1.00683,1.01539,74699
2016.01.24,00:00,1.01541,1.01669,1.01471,1.01631,1366
2016.01.25,00:00,1.01623,1.01627,1.01226,1.01243,69563
2016.01.26,00:00,1.01242,1.01982,1.01168,1.01707,45913
2016.01.27,00:00,1.01707,1.01880,1.01294,1.01444,84600
2016.01.28,00:00,1.01444,1.01769,1.01088,1.01393,80803
2016.01.29,00:00,1.01394,1.02556,1.01317,1.02270,79814
2016.01.31,00:00,1.02186,1.02489,1.02059,1.02441,1776
2016.02.01,00:00,1.02440,1.02451,1.01548,1.01953,60208
2016.02.02,00:00,1.01954,1.02236,1.01697,1.01867,68876
2016.02.03,00:00,1.01868,1.01931,0.99867,1.00527,75632
2016.02.04,00:00,1.00528,1.00735,0.99210,0.99334,65585
2016.02.05,00:00,0.99334,0.99843,0.98797,0.99109,59815
2016.02.07,00:00,0.99130,0.99326,0.99119,0.99278,2045
2016.02.08,00:00,0.99278,0.99723,0.98403,0.98717,67155
2016.02.09,00:00,0.98720,0.98731,0.96938,0.97303,82142
2016.02.10,00:00,0.97301,0.98187,0.97086,0.97312,127885
2016.02.11,00:00,0.97312,0.97615,0.96604,0.97237,90431
2016.02.12,00:00,0.97234,0.97899,0.97133,0.97647,65861
2016.02.14,00:00,0.97663,0.97882,0.97627,0.97817,3131
2016.02.15,00:00,0.97818,0.98887,0.97712,0.98600,46814
2016.02.16,00:00,0.98600,0.98955,0.98465,0.98838,55884
2016.02.17,00:00,0.98841,0.99412,0.98521,0.99260,78134
2016.02.18,00:00,0.99261,0.99679,0.99037,0.99308,55274
2016.02.19,00:00,0.99313,0.99668,0.98839,0.98927,88540
2016.02.21,00:00,0.98867,0.99089,0.98816,0.99056,4423
2016.02.22,00:00,0.99055,1.00026,0.99036,1.00000,79387
